7.5601,-5.8978,-2.7525,-6.1967
4.5071,-5.2803,-4.7334,-5.6955
1.2088,8.7045,5.252,1.1939
9.1137,-4.3032,-7.3336,-5.7126
2.2451,4.1142,-9.5728,9.4723
7.5501,-5.1954,-4.9554,-9.0578
-1.7733,10.3796,2.9343,4.0759
-3.1166,8.7989,5.713,1.0536
-7.206,-7.6266,-7.8517,7.6442
5.8163,-6.3682,-4.6404,-5.7105
1.9834,5.292,-11.9778,10.7467
7.6484,-7.8512,-4.7849,-4.0522
-2.2928,7.8669,3.9309,3.4672
-2.7372,8.5854,4.4234,3.6206
-1.2307,8.7046,6.1622,2.5629
-7.8436,-4.6835,-6.2319,6.8991
4.9647,-4.8608,-6.5215,-4.8942
7.9706,-6.3117,-6.461,-6.2362
-1.2497,8.372,6.2208,2.2103
3.7676,2.5363,-8.612,11.1221
-3.8736,8.0281,6.203,2.1384
6.3324,-4.5162,-6.3018,-7.7351
2.9012,4.4169,-10.4736,8.0423
3.6247,3.9426,-8.7434,7.2832
-8.6879,-6.7047,-9.564,8.079
7.4763,-5.8041,-5.1483,-7.7681
2.8749,4.5207,-7.3669,10.0274
2.4143,4.4654,-10.3408,8.1623
-6.4312,-7.1952,-7.3007,5.0559
5.6489,-4.3974,-5.9613,-4.9689
-0.08,7.3785,4.8675,1.1788
-2.7762,11.4705,3.83,1.4895
3.3692,4.7559,-11.6775,8.6582
-5.4823,-7.0699,-8.2161,7.8166
-7.1383,-6.5583,-8.5104,5.8783
-1.0534,9.6538,3.8991,3.4159
5.8226,-6.1818,-6.1864,-6.1511
7.2086,-6.2833,-5.9238,-8.6433
5.4185,-7.255,-6.5633,-7.8671
-7.9427,-5.9486,-10.045,6.8831
-2.5853,9.5936,5.9402,1.573
-1.7904,10.0383,4.0469,2.3138
5.6096,-7.0863,-7.1159,-6.1352
-1.1811,6.2847,4.3949,5.7144
-2.6344,9.4863,3.7542,2.1907
-7.738,-6.5774,-6.9796,9.1069
6.0538,-5.3217,-5.5036,-7.6595
-3.8197,9.1767,5.8332,2.7484
2.4843,2.953,-10.6488,9.9236
8.4524,-6.2032,-7.268,-5.4114
3.4121,3.7014,-9.8427,8.0324
6.7786,-6.7653,-6.9349,-4.684
-4.9763,-6.8344,-8.1605,6.737
1.9717,5.0484,-9.8114,8.8535
9.7861,-4.4249,-7.2619,-2.8985
-5.813,-5.7971,-7.6952,7.7889
7.1076,-8.1638,-5.4683,-2.9096
-7.9123,-6.9671,-9.0261,6.6614
4.9069,-6.1114,-5.9765,-5.6034
3.6391,4.1903,-8.6015,9.5082
-5.3948,-7.1894,-7.2983,7.1992
6.8201,-6.092,-6.3284,-6.0712
0.4843,4.0806,-10.2694,9.6902
2.0801,5.3226,-7.3711,9.7198
7.5397,-5.3262,-6.4409,-7.5672
1.9009,4.0029,-8.9601,10.3444
1.3271,3.7893,-11.2686,8.2467
-2.1687,7.8288,3.6237,3.4727
-5.5333,-8.7251,-8.905,7.7592
-2.1973,9.9525,3.1555,0.3886
