-8.8635,-6.8065,-10.0918,-5.3636,-1.6896,-3.5006,4.0707
-1.8041,-6.7352,0.9879,-6.2719,5.2165,-8.8948,11.5933
-2.6458,9.0323,3.9203,2.4901,-6.4598,-5.7992,-9.5333
-6.5789,8.5225,2.0771,9.2376,6.9627,-0.3183,7.9619
6.7004,-3.6001,-9.2894,2.9769,-0.4342,-7.8373,-0.3655
5.8225,3.2137,2.2233,-7.6590,6.5307,7.2073,-6.5437
2.1917,-11.0931,3.5081,-6.3045,-12.0076,9.4220,10.3007
-7.6695,-5.4749,-2.5299,-3.2711,4.4786,-5.5831,0.4717
-10.6891,10.3502,-6.0786,1.6447,-4.9124,0.2935,0.4020
-7.6998,10.3553,5.5811,8.1875,8.1474,3.2997,7.7986
