-3.0842,8.7915
-4.3274,10.6545
-3.6788,9.9588
-2.6627,7.8676
3.5006,5.132
-4.3501,10.5475
1.6739,1.0169
-0.0363,11.1207
-1.0939,8.4513
4.1357,1.635
-3.8368,7.5788
6.6384,3.1904
-1.1134,9.0266
-1.5342,10.6418
4.9876,4.4637
5.8211,1.7164
0.0635,9.775
5.3992,4.698
-1.5221,7.5493
-0.7797,7.2913
3.7113,0.4796
-2.4321,7.721
-2.4545,8.2324
5.7627,3.499
4.2035,1.9048
-1.805,11.6428
3.875,3.4
6.0813,1.4835
-0.5352,8.7154
-2.2152,8.406
-2.2586,6.6627
-1.1378,9.9166
3.9922,1.0392
4.2705,2.2362
3.929,0.9364
4.2067,3.3644
-1.5187,9.9905
-2.6397,9.4963
4.9644,1.9129
-3.5599,7.3549
-2.3991,6.6292
4.3531,0.8841
3.4349,1.0518
4.9471,3.1524
4.7552,1.4184
-2.0693,7.8864
4.8581,2.271
4.5413,3.3139
-3.23,8.6643
3.8746,1.336
4.8531,0.3708
3.3072,4.0759
-4.5791,8.3395
3.9491,2.1196
5.8781,0.1905
5.7658,1.3539
-2.8325,9.8753
-3.6978,8.3347
-1.8911,13.6376
-1.9413,8.9269
3.3426,3.237
3.0265,0.8708
-4.1624,7.8889
-3.3517,8.6211
-3.9291,6.5672
-1.9766,9.9438
-1.8241,10.377
-2.4254,8.5519
-2.808,10.1802
5.2319,2.195
2.9509,1.0398
7.712,1.8579
4.5255,2.308
4.3504,2.3956
-3.4491,8.6278
3.138,3.7057
4.0548,1.4541
-2.0137,8.3378
5.493,2.5063
-3.4911,11.5252
-2.2403,9.0294
-2.5509,7.6119
4.9603,3.0407
4.1042,2.2061
4.5606,0.52
-0.606,7.5289
5.1298,-0.0699
-2.5956,10.2185
-1.5338,9.7698
-1.3391,8.8378
6.7971,2.7422
-3.4202,9.1948
4.6202,3.3992
4.5322,3.7013
-1.3531,9.5096
-2.3648,9.6316
-2.0752,8.2401
4.8396,2.5641
-2.373,9.8088
-2.2703,8.294
6.0412,2.2785
6.0739,0.1453
-3.5698,9.1988
-1.3978,11.3056
