-9.5062,7.8166,-4.1408,2.7062,-2.7306,2.0972,1.2242
-8.9302,6.9345,-5.5693,3.1915,-3.4535,-0.0018,-0.2947
-7.4293,-7.1679,-4.1912,1.8147,-1.0402,-5.0651,1.4608
0.7693,-10.2723,3.6677,-7.3588,-9.1316,8.3684,9.4059
-11.3247,-7.3316,-9.5407,-2.2786,-4.7925,-6.2435,7.3220
-8.2692,-3.4195,-2.5949,0.4646,5.4337,-5.7561,1.4046
-9.1177,-7.0976,-8.6573,-1.0362,-2.1559,-3.8309,4.4671
-6.2965,-6.7455,-4.3215,0.6590,-2.1733,-5.5206,0.6858
-0.6453,9.0785,5.7560,2.2516,-5.3025,-9.2787,-9.0642
-7.5206,-4.0932,-2.0211,-3.7722,4.1060,-5.9834,-0.9194
